,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
86,88,"['18', '53', '9648']",26388,10.888,2010-09-24,6.6,1487,2,Buried,1987650.0,1044143.0,21270290.0,19282640,1070.1225064774983,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,
87,89,"['35', '12', '10751', '14']",38745,10.768,2010-12-25,5.1,1282,13,Gulliver'S Travels,112000000.0,42779261.0,232017848.0,120017848,207.15879285714288,"['Comedy', 'Adventure', 'Family', 'Fantasy']",Comedy,Adventure,Family,Fantasy,,,
88,90,"['16', '12', '10751', '14']",41216,10.754,2010-09-24,6.6,1223,90,Legend Of The Guardians: The Owls Of Ga'Hoole,100000000.0,55675313.0,139716717.0,39716717,139.716717,"['Animation', 'Adventure', 'Family', 'Fantasy']",Animation,Adventure,Family,Fantasy,,,
89,91,"['28', '35', '10751']",23172,10.746,2010-01-15,5.7,650,68,The Spy Next Door,28000000.0,24307106.0,46752858.0,18752858,166.97449285714285,"['Action', 'Comedy', 'Family']",Action,Comedy,Family,,,,
90,92,"['35', '99', '28']",16290,10.715,2010-10-15,6.3,655,98,Jackass 3D,20000000.0,117229692.0,171685793.0,151685793,858.4289650000001,"['Comedy', 'Documentary', 'Action']",Comedy,Documentary,Action,,,,
91,93,"['35', '18', '10749']",38357,10.595,2010-11-10,6.3,717,73,Morning Glory,40000000.0,31011732.0,59795070.0,19795070,149.487675,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
92,94,"['53', '80', '18', '28']",25941,10.555,2010-04-30,6.8,505,81,Harry Brown,7300000.0,1818681.0,12023606.0,4723606,164.70693150684932,"['Thriller', 'Crime', 'Drama', 'Action']",Thriller,Crime,Drama,Action,,,
93,95,"['35', '10751', '28', '14']",39691,10.544,2010-07-30,4.9,273,17,Cats & Dogs: The Revenge Of Kitty Galore,85000000.0,43585753.0,113026383.0,28026383,132.97221529411763,"['Comedy', 'Family', 'Action', 'Fantasy']",Comedy,Family,Action,Fantasy,,,
94,96,['18'],45317,10.395,2010-12-17,7.3,2325,68,The Fighter,11000000.0,93617009.0,129262388.0,118262388,1175.112618181818,['Drama'],Drama,,,,,,
95,97,"['28', '53', '10749']",37710,10.307,2010-12-10,6.1,3133,85,The Tourist,100000000.0,67631157.0,278731369.0,178731369,278.731369,"['Action', 'Thriller', 'Romance']",Action,Thriller,Romance,,,,
