Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi
20618,"[28, 12, 878, 18]",315635,en,Spider-Man: Homecoming,46.775,2017-07-07,Spider-Man: Homecoming,7.4,11585,99,"Jul 7, 2017",Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,705166350,502.9522
20621,"[28, 12, 35, 14]",284053,en,Thor: Ragnarok,43.45,2017-11-03,Thor: Ragnarok,7.5,11380,82,"Nov 3, 2017",Thor: Ragnarok,180000000.0,315058289.0,846980024.0,666980024,470.5444577777778
20623,"[28, 12, 14, 878]",141052,en,Justice League,34.953,2017-11-17,Justice League,6.2,7510,9,"Nov 17, 2017",Justice League,300000000.0,229024295.0,655945209.0,355945209,218.648403
20629,"[28, 12, 14]",293167,en,Kong: Skull Island,29.388,2017-03-10,Kong: Skull Island,6.3,6054,78,"Mar 10, 2017",Kong: Skull Island,185000000.0,168052812.0,561072059.0,376072059,303.28219405405406
20630,"[28, 80, 53]",337339,en,The Fate of the Furious,28.668000000000003,2017-04-14,The Fate Of The Furious,6.9,6335,23,"Apr 14, 2017",The Fate Of The Furious,250000000.0,225764765.0,1234846267.0,984846267,493.9385068
20633,"[35, 18]",440472,en,The Upside,28.138,2019-01-11,The Upside,7.3,274,85,"Jan 11, 2019",The Upside,37500000.0,108235497.0,119024536.0,81524536,317.39876266666664
20634,"[12, 28, 14, 35]",166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,28.101,2017-05-26,Pirates Of The Caribbean: Dead Men Tell No Tales,6.6,6931,25,"May 26, 2017",Pirates Of The Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,558241137,342.71353782608696
20635,"[16, 10751, 35, 12, 14]",354912,en,Coco,25.961,2017-11-22,Coco,8.2,8669,2,"Nov 22, 2017",Coco,175000000.0,209726015.0,798008101.0,623008101,456.0046291428572
20638,"[27, 878, 53]",126889,en,Alien: Covenant,24.651,2017-05-19,Alien: Covenant,5.9,4971,12,"May 19, 2017",Alien: Covenant,97000000.0,74262031.0,238521247.0,141521247,245.89819278350515
20640,"[10752, 28, 18]",374720,en,Dunkirk,24.358,2017-07-19,Dunkirk,7.4,9156,69,"Jul 21, 2017",Dunkirk,150000000.0,190068280.0,499837368.0,349837368,333.224912
20641,"[28, 12, 35]",343668,en,Kingsman: The Golden Circle,24.337,2017-09-22,Kingsman: The Golden Circle,7.0,5531,54,"Sep 22, 2017",Kingsman: The Golden Circle,104000000.0,100234838.0,408803696.0,304803696,393.0804769230769
20642,"[28, 878, 53, 12]",335988,en,Transformers: The Last Knight,24.258000000000003,2017-06-21,Transformers: The Last Knight,6.0,3255,33,"Jun 21, 2017",Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,385893340,277.8310322580645
20644,"[12, 878, 28]",339964,en,Valerian and the City of a Thousand Planets,24.003,2017-07-21,Valerian And The City Of A Thousand Planets,6.6,4149,90,"Jul 21, 2017",Valerian And The City Of A Thousand Planets,180000000.0,40479370.0,215098356.0,35098356,119.49908666666667
20645,"[18, 878, 10752]",281338,en,War for the Planet of the Apes,23.445,2017-07-14,War For The Planet Of The Apes,7.0,5235,52,"Jul 14, 2017",War For The Planet Of The Apes,152000000.0,146880162.0,489592267.0,337592267,322.10017565789474
20646,"[28, 80]",339403,en,Baby Driver,22.895,2017-06-28,Baby Driver,7.4,8034,59,"Jun 28, 2017",Baby Driver,34000000.0,107825862.0,228104185.0,194104185,670.8946617647059
20648,"[18, 14, 10749]",399055,en,The Shape of Water,22.025,2017-12-01,The Shape Of Water,7.2,7224,19,"Dec 1, 2017",The Shape Of Water,19500000.0,63859435.0,195790794.0,176290794,1004.0553538461538
20649,[18],316029,en,The Greatest Showman,22.009,2017-12-20,The Greatest Showman,8.0,5197,25,"Dec 20, 2017",The Greatest Showman,84000000.0,174340174.0,386665550.0,302665550,460.31613095238095
20650,"[28, 18, 14]",274857,en,King Arthur: Legend of the Sword,21.793000000000003,2017-05-12,King Arthur: Legend Of The Sword,6.5,3305,11,"May 12, 2017",King Arthur: Legend Of The Sword,175000000.0,39175066.0,139630336.0,-35369664,79.78876342857143
20651,"[28, 12, 80]",47971,en,xXx: Return of Xander Cage,21.749000000000002,2017-01-20,Xxx: Return Of Xander Cage,5.6,2452,15,"Jan 20, 2017",Xxx: Return Of Xander Cage,85000000.0,44898413.0,345033359.0,260033359,405.92159882352945
20652,"[28, 9648, 53]",341013,en,Atomic Blonde,21.662,2017-07-28,Atomic Blonde,6.3,3645,94,"Jul 28, 2017",Atomic Blonde,30000000.0,51573925.0,98345423.0,68345423,327.8180766666666
20656,"[28, 878, 53, 18]",315837,en,Ghost in the Shell,21.308000000000003,2017-03-31,Ghost In The Shell,6.0,5128,40,"Mar 31, 2017",Ghost In The Shell,110000000.0,40563557.0,167910690.0,57910690,152.6460818181818
20657,"[27, 9648, 53]",396422,en,Annabelle: Creation,21.245,2017-08-11,Annabelle: Creation,6.5,3141,2,"Aug 11, 2017",Annabelle: Creation,15000000.0,102092201.0,305384865.0,290384865,2035.8990999999999
20658,"[27, 9648, 53]",440021,en,Happy Death Day,21.23,2017-10-13,Happy Death Day,6.6,3211,58,"Oct 13, 2017",Happy Death Day,5000000.0,55683845.0,125010260.0,120010260,2500.2052
20661,"[28, 12, 35, 14]",353486,en,Jumanji: Welcome to the Jungle,20.395,2017-12-20,Jumanji: Welcome To The Jungle,6.7,7213,38,"Dec 20, 2017",Jumanji: Welcome To The Jungle,90000000.0,404508916.0,964496193.0,874496193,1071.6624366666667
20662,"[18, 10751]",406997,en,Wonder,20.101,2017-11-17,Wonder,8.2,3959,95,"Nov 17, 2017",Wonder,20000000.0,132422809.0,304604712.0,284604712,1523.02356
20664,"[16, 10751, 12, 35]",364689,en,Ferdinand,19.479,2017-12-15,Ferdinand,7.1,1425,14,"Dec 15, 2017",Ferdinand,111000000.0,84410380.0,289847930.0,178847930,261.12426126126127
20665,"[28, 16, 35, 10751, 14]",324849,en,The Lego Batman Movie,19.352,2017-02-10,The Lego Batman Movie,7.2,2882,41,"Feb 10, 2017",The Lego Batman Movie,80000000.0,175750384.0,310660018.0,230660018,388.3250225
20666,"[28, 12, 14]",311324,en,The Great Wall,19.144000000000002,2017-02-17,The Great Wall,5.8,2775,92,"Feb 17, 2017",The Great Wall,150000000.0,45157105.0,334486852.0,184486852,222.99123466666666
20667,"[28, 14, 27, 18]",346672,en,Underworld: Blood Wars,18.976,2017-01-06,Underworld: Blood Wars,5.5,2318,91,"Jan 6, 2017",Underworld: Blood Wars,35000000.0,30353973.0,81209222.0,46209222,232.0263485714286
20668,"[14, 53, 28, 12, 27]",282035,en,The Mummy,18.53,2017-06-09,The Mummy,5.5,4391,65,"Jun 9, 2017",The Mummy,195000000.0,80101125.0,409953905.0,214953905,210.2327717948718
20669,"[12, 16, 35, 10751]",260514,en,Cars 3,18.427,2017-06-16,Cars 3,6.7,2596,5,"Jun 16, 2017",Cars 3,175000000.0,152901115.0,383541369.0,208541369,219.16649657142858
20670,"[28, 16, 35, 10751]",268531,en,Captain Underpants: The First Epic Movie,18.31,2017-06-02,Captain Underpants: The First Epic Movie,6.0,587,59,"Jun 2, 2017",Captain Underpants: The First Epic Movie,38000000.0,73921000.0,126577874.0,88577874,333.0996684210526
20673,"[80, 18]",359940,en,"Three Billboards Outside Ebbing, Missouri",17.808,2017-11-10,"Three Billboards Outside Ebbing, Missouri",8.2,5432,59,"Nov 10, 2017","Three Billboards Outside Ebbing, Missouri",12000000.0,54513740.0,160191915.0,148191915,1334.9326250000001
20676,"[80, 27, 9648, 53]",298250,en,Jigsaw,17.398,2017-10-27,Jigsaw,6.1,1887,61,"Oct 27, 2017",Jigsaw,10000000.0,38052832.0,102445196.0,92445196,1024.45196
20681,"[28, 80]",337170,en,American Made,16.748,2017-09-29,American Made,6.7,2188,32,"Sep 29, 2017",American Made,50000000.0,51342000.0,135569212.0,85569212,271.138424
20682,"[18, 10751, 35]",400928,en,Gifted,16.745,2017-04-12,Gifted,7.9,2035,4,"Apr 7, 2017",Gifted,7000000.0,24801212.0,36964656.0,29964656,528.0665142857143
20684,[35],431530,en,A Bad Moms Christmas,16.604,2017-11-01,A Bad Moms Christmas,6.3,1044,40,"Nov 1, 2017",A Bad Moms Christmas,28000000.0,72110659.0,127710550.0,99710550,456.10910714285717
20686,"[28, 16, 35, 10751, 12]",324852,en,Despicable Me 3,16.407,2017-06-30,Despicable Me 3,6.3,4106,30,"Jun 30, 2017",Despicable Me 3,75000000.0,264624300.0,1034727750.0,959727750,1379.637
20690,"[35, 18]",391713,en,Lady Bird,15.974,2017-11-03,Lady Bird,7.3,3866,53,"Nov 3, 2017",Lady Bird,10000000.0,48958273.0,78610769.0,68610769,786.1076899999999
20693,"[80, 18, 9648]",392044,en,Murder on the Orient Express,15.937000000000001,2017-11-10,Murder On The Orient Express,6.7,5406,95,"Nov 10, 2017",Murder On The Orient Express,55000000.0,102826543.0,345922730.0,290922730,628.9504181818182
20696,"[28, 12, 878]",305470,en,Power Rangers,15.865,2017-03-24,Power Rangers,6.2,2667,94,"Mar 24, 2017",Power Rangers,120000000.0,85364450.0,142531552.0,22531552,118.77629333333333
20697,"[28, 35, 80, 18]",399170,en,Logan Lucky,15.743,2017-08-18,Logan Lucky,6.7,1627,21,"Aug 18, 2017",Logan Lucky,29000000.0,27778642.0,44264271.0,15264271,152.6354172413793
20698,"[28, 80, 14]",400106,en,Bright,15.677,2017-12-22,Bright,6.2,3181,80,"Dec 13, 2017",Bright,90000000.0,0.0,0.0,-90000000,0.0
20699,"[12, 16, 35, 10751]",137116,en,Smurfs: The Lost Village,15.663,2017-04-07,Smurfs: The Lost Village,6.2,736,5,"Apr 7, 2017",Smurfs: The Lost Village,60000000.0,45020282.0,197578586.0,137578586,329.2976433333333
20700,"[18, 36]",446354,en,The Post,15.550999999999998,2017-12-22,The Post,7.0,2506,9,"Dec 22, 2017",The Post,50000000.0,81903458.0,179748880.0,129748880,359.49775999999997
20701,"[28, 14, 878, 37, 27]",353491,en,The Dark Tower,15.517000000000001,2017-08-04,The Dark Tower,5.6,2842,95,"Aug 4, 2017",The Dark Tower,60000000.0,50701325.0,113461527.0,53461527,189.10254500000002
20703,"[28, 53]",415842,en,American Assassin,15.434000000000001,2017-09-15,American Assassin,6.3,1596,28,"Sep 15, 2017",American Assassin,63000000.0,36249674.0,68310140.0,5310140,108.42879365079365
20704,[18],389015,en,"I, Tonya",15.407,2017-12-08,"I, Tonya",7.5,2904,83,"Dec 8, 2017","I, Tonya",11000000.0,30014534.0,53797409.0,42797409,489.0673545454545
20705,"[18, 36]",399404,en,Darkest Hour,15.331,2017-11-22,Darkest Hour,7.3,2715,84,"Nov 22, 2017",Darkest Hour,30000000.0,56443120.0,150807172.0,120807172,502.6905733333333
