,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
661,The Divide,"Drama,Horror,Sci-Fi",5.8,33603,Drama,Horror,Sci-Fi,Xavier Gens,"director,assistant_director,writer",53,The Divide,3000000.0,18000.0,156362.0,-2843638,5.212066666666667,2011-03-13
663,The Divide,Documentary,6.7,163,Documentary,,,Katharine Round,"producer,director,editor",53,The Divide,3000000.0,18000.0,156362.0,-2843638,5.212066666666667,2011-03-13
665,Paranormal Activity 2,Horror,5.7,93122,Horror,,,Tod Williams,"director,writer,producer",65,Paranormal Activity 2,3000000.0,84752907.0,177512032.0,174512032,5917.067733333333,2010-10-21
666,Blair Witch,"Horror,Mystery,Thriller",5.0,36867,Horror,Mystery,Thriller,Adam Wingard,"director,editor,cinematographer",1,Blair Witch,10000000.0,20777061.0,38985577.0,28985577,389.85577,2016-09-16
668,The Guard,"Comedy,Crime,Thriller",7.3,75183,Comedy,Crime,Thriller,John Michael Mcdonagh,"writer,director,producer",54,The Guard,6000000.0,5359774.0,21197454.0,15197454,353.2909,2011-07-29
669,127 Hours,"Adventure,Biography,Drama",7.6,323949,Adventure,Biography,Drama,Danny Boyle,"director,producer,writer",6,127 Hours,18000000.0,18335230.0,60217171.0,42217171,334.5398388888889,2010-11-05
670,The Grace Card,Drama,6.6,2488,Drama,,,David G. Evans,"director,writer,casting_department",18,The Grace Card,200000.0,2430735.0,2430735.0,2230735,1215.3675,2011-02-25
671,Vamps,"Comedy,Horror,Romance",5.2,8838,Comedy,Horror,Romance,Amy Heckerling,"writer,director,producer",79,Vamps,16000000.0,3361.0,94812.0,-15905188,0.592575,2012-11-02
672,Vamps,"Comedy,Horror,Thriller",4.5,13,Comedy,Horror,Thriller,Marcus Dreeke,"actor,miscellaneous,director",79,Vamps,16000000.0,3361.0,94812.0,-15905188,0.592575,2012-11-02
673,Without Men,Comedy,3.3,1576,Comedy,,,Gabriela Tagliavini,"director,writer,producer",14,Without Men,4700000.0,0.0,0.0,-4700000,0.0,2011-06-29
674,Premium Rush,"Action,Crime,Thriller",6.5,105279,Action,Crime,Thriller,David Koepp,"writer,miscellaneous,director",10,Premium Rush,35000000.0,20275446.0,31393201.0,-3606799,89.69486,2012-08-24
675,Another Earth,"Drama,Romance,Sci-Fi",7.0,85839,Drama,Romance,Sci-Fi,Mike Cahill,"visual_effects,editor,director",48,Another Earth,175000.0,1321194.0,2102779.0,1927779,1201.588,2011-07-22
