,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_year,genre,main_genre,genre2,genre3,genre4,genre5,genre6,genre7,release_month
104,127,"['80', '35', '18']",45324,9.432,2010-12-17,6.1,149,32,Casino Jack,12.5,2039869.0,2272186.0,-10.227814,18.177488,2010,"['Crime', 'Comedy', 'Drama']",Crime,Comedy,Drama,,,,,12
105,129,"['35', '18']",44009,9.394,2010-12-29,7.0,150,8,Another Year,8.0,3205706.0,20005613.0,12.005613,250.0701625,2010,"['Comedy', 'Drama']",Comedy,Drama,,,,,,12
106,131,"['35', '18', '10749']",37056,9.394,2010-05-14,6.9,1706,89,Letters To Juliet,30.0,53032453.0,82148538.0,52.148538,273.82846,2010,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,5
107,132,['18'],27585,9.389,2010-12-16,6.8,292,52,Rabbit Hole,5.0,2229058.0,6205034.0,1.205034,124.10068,2010,['Drama'],Drama,,,,,,,12
108,133,"['28', '35']",44147,9.355,2010-10-29,6.4,356,28,Wild Target,8.0,109338.0,5314194.0,-2.685806,66.427425,2010,"['Action', 'Comedy']",Action,Comedy,,,,,,10
109,134,"['27', '18', '53']",38358,9.35,2010-08-27,5.6,519,15,The Last Exorcism,1.8,41034350.0,70165900.0,68.3659,3898.105555555556,2010,"['Horror', 'Drama', 'Thriller']",Horror,Drama,Thriller,,,,,8
110,135,"['18', '10751', '10749']",35690,9.237,2010-03-31,7.2,2199,15,The Last Song,20.0,62950384.0,92678948.0,72.678948,463.39474,2010,"['Drama', 'Family', 'Romance']",Drama,Family,Romance,,,,,3
111,136,"['35', '10751', '16', '12']",41515,9.096,2010-12-17,5.3,387,62,Yogi Bear,80.0,100246011.0,204774690.0,124.77469,255.9683625,2010,"['Comedy', 'Family', 'Animation', 'Adventure']",Comedy,Family,Animation,Adventure,,,,12
112,137,"['80', '18', '53']",38542,9.087,2010-04-30,6.6,280,97,The Disappearance Of Alice Creed,1.5,166980.0,1605139.0,0.105139,107.00926666666666,2010,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,4
113,138,['18'],39486,9.059,2010-10-08,7.0,200,53,Secretariat,35.0,59699513.0,60376247.0,25.376247,172.50356285714287,2010,['Drama'],Drama,,,,,,,10
114,139,"['80', '18', '53']",27579,9.042,2010-09-01,5.8,690,51,The American,20.0,35606376.0,67950723.0,47.950723,339.753615,2010,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,9
115,140,"['18', '10749']",46705,8.994,2010-12-29,6.9,1677,25,Blue Valentine,1.0,9737892.0,16566240.0,15.56624,1656.624,2010,"['Drama', 'Romance']",Drama,Romance,,,,,,12
116,141,"['35', '27']",40264,8.992,2010-08-18,4.1,658,49,Vampires Suck,20.0,36661504.0,81424988.0,61.424988,407.12494,2010,"['Comedy', 'Horror']",Comedy,Horror,,,,,,8
117,142,"['18', '10752', '9648']",46738,8.972999999999999,2010-09-04,8.1,1034,76,Incendies,6.8,6857096.0,16038343.0,9.238343,235.85798529411767,2010,"['Drama', 'War', 'Mystery']",Drama,War,Mystery,,,,,9
118,143,"['28', '80', '18', '53']",22907,8.969,2010-08-26,6.2,605,95,Takers,32.0,57744720.0,70587268.0,38.587268,220.5852125,2010,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Crime,Drama,Thriller,,,,8
119,144,"['878', '28']",42684,8.847000000000001,2010-11-12,4.8,833,99,Skyline,10.0,21416355.0,68264973.0,58.264973,682.64973,2010,"['ScienceFiction', 'Action']",ScienceFiction,Action,,,,,,11
120,145,"['28', '35', '80']",23742,8.82,2010-02-26,5.4,796,99,Cop Out,37.0,44875481.0,55909910.0,18.90991,151.1078648648649,2010,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,,2
121,146,"['18', '53', '9648']",28211,8.807,2010-03-26,5.9,940,97,Chloe,13.0,3075255.0,11831131.0,-1.168869,91.0087,2010,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,,3
122,147,"['18', '27', '878']",52015,8.799,2010-10-01,6.2,415,47,Stake Land,4.0,33245.0,679482.0,-3.320518,16.98705,2010,"['Drama', 'Horror', 'ScienceFiction']",Drama,Horror,ScienceFiction,,,,,10
123,148,"['18', '10749']",42297,8.676,2010-11-23,7.1,1195,24,Burlesque,55.0,39440655.0,90552675.0,35.552675,164.64122727272726,2010,"['Drama', 'Romance']",Drama,Romance,,,,,,11
124,149,"['80', '53', '35', '9648']",27004,8.503,2010-01-01,5.8,112,32,Ca$H,13.7,0.0,11738256.0,-1.961744,85.68070072992701,2010,"['Crime', 'Thriller', 'Comedy', 'Mystery']",Crime,Thriller,Comedy,Mystery,,,,1
125,150,"['10751', '35']",38579,8.487,2010-06-04,5.1,367,59,Marmaduke,50.0,33644788.0,89895930.0,39.89593,179.79186,2010,"['Family', 'Comedy']",Family,Comedy,,,,,,6
126,151,['35'],32823,8.485,2010-06-04,5.9,980,22,Get Him To The Greek,40.0,61153526.0,91455875.0,51.455875,228.6396875,2010,['Comedy'],Comedy,,,,,,,6
127,152,"['10749', '878']",59457,8.482999999999999,2010-07-15,6.1,159,12,Womb,13.0,0.0,0.0,-13.0,0.0,2010,"['Romance', 'ScienceFiction']",Romance,ScienceFiction,,,,,,7
128,153,"['35', '18']",39781,8.426,2010-07-09,6.6,854,87,The Kids Are All Right,4.0,20811365.0,36275469.0,32.275469,906.886725,2010,"['Comedy', 'Drama']",Comedy,Drama,,,,,,7
129,154,"['14', '27', '53']",46261,8.405,2010-11-06,5.5,550,43,Don'T Be Afraid Of The Dark,25.0,24046682.0,39126427.0,14.126427,156.505708,2010,"['Fantasy', 'Horror', 'Thriller']",Fantasy,Horror,Thriller,,,,,11
130,155,"['16', '18']",41201,8.404,2010-12-25,7.4,280,22,The Illusionist,16.5,39868642.0,83792062.0,67.292062,507.8306787878788,2010,"['Animation', 'Drama']",Animation,Drama,,,,,,12
131,156,"['18', '53']",44113,8.401,2010-10-22,5.2,334,50,Stone,22.0,1810078.0,4065020.0,-17.93498,18.47736363636364,2010,"['Drama', 'Thriller']",Drama,Thriller,,,,,,10
132,158,['18'],31007,8.347999999999999,2010-10-29,6.5,241,12,Welcome To The Rileys,10.0,152857.0,355919.0,-9.644081,3.55919,2010,['Drama'],Drama,,,,,,,10
133,159,"['35', '18', '14', '27', '9648']",45649,8.318999999999999,2010-09-01,5.9,417,55,Rubber,0.5,100370.0,680914.0,0.180914,136.1828,2010,"['Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery']",Comedy,Drama,Fantasy,Horror,Mystery,,,9
134,160,"['35', '18', '10749']",38073,8.281,2010-09-03,6.0,394,11,Going The Distance,32.0,17804299.0,43603990.0,11.60399,136.26246875,2010,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,9
135,161,"['12', '14', '28', '37', '53']",46528,8.259,2010-12-03,6.1,203,65,The Warrior'S Way,42.0,5666340.0,8514325.0,-33.485675,20.272202380952383,2010,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']",Adventure,Fantasy,Action,Western,Thriller,,,12
136,162,"['35', '18', '9648']",44718,8.215,2010-01-22,6.7,135,23,Get Low,7.0,9176933.0,10828305.0,3.828305,154.69007142857143,2010,"['Comedy', 'Drama', 'Mystery']",Comedy,Drama,Mystery,,,,,1
137,163,"['18', '10402']",27586,8.19,2010-03-19,6.4,448,57,The Runaways,9.5,3573673.0,5278632.0,-4.221368,55.56454736842106,2010,"['Drama', 'Music']",Drama,Music,,,,,,3
138,164,"['27', '53']",41436,8.163,2010-10-21,5.7,1342,65,Paranormal Activity 2,3.0,84752907.0,177512032.0,174.512032,5917.067733333333,2010,"['Horror', 'Thriller']",Horror,Thriller,,,,,,10
139,165,"['18', '14']",44603,7.886,2010-10-22,5.9,848,61,Hereafter,50.0,32746941.0,108660270.0,58.66027,217.32054,2010,"['Drama', 'Fantasy']",Drama,Fantasy,,,,,,10
140,166,"['18', '9648', '53', '80', '10749']",46503,7.871,2010-12-03,6.0,493,96,All Good Things,20.0,582024.0,873617.0,-19.126383,4.368085,2010,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Romance']",Drama,Mystery,Thriller,Crime,Romance,,,12
141,167,"['18', '28', '35', '80']",34769,7.862999999999999,2010-02-26,6.4,295,80,Defendor,3.75,44462.0,44462.0,-3.705538,1.1856533333333334,2010,"['Drama', 'Action', 'Comedy', 'Crime']",Drama,Action,Comedy,Crime,,,,2
142,168,"['53', '9648']",11439,7.829,2010-02-12,6.8,1135,11,The Ghost Writer,45.0,15541549.0,65532491.0,20.532491,145.6277577777778,2010,"['Thriller', 'Mystery']",Thriller,Mystery,,,,,,2
143,170,"['35', '10749']",34016,7.775,2010-03-12,6.1,970,62,She'S Out Of My League,20.0,32010860.0,48680977.0,28.680977,243.404885,2010,"['Comedy', 'Romance']",Comedy,Romance,,,,,,3
144,171,['27'],26466,7.761,2010-02-02,6.8,1094,52,Triangle,12.0,0.0,1594955.0,-10.405045,13.291291666666666,2010,['Horror'],Horror,,,,,,,2
145,172,"['35', '10749', '18']",41210,7.745,2010-08-20,6.1,1008,39,The Switch,19.0,27758465.0,49858465.0,30.858465,262.4129736842105,2010,"['Comedy', 'Romance', 'Drama']",Comedy,Romance,Drama,,,,,8
146,173,"['35', '18', '10749']",39053,7.735,2010-06-18,6.0,201,27,Cyrus,7.0,7468936.0,10062896.0,3.062896,143.75565714285713,2010,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,6
147,174,['35'],41382,7.699,2010-08-20,5.7,92,90,Lottery Ticket,17.0,24719879.0,24719879.0,7.719879,145.41105294117648,2010,['Comedy'],Comedy,,,,,,,8
148,175,['18'],45958,7.697,2010-12-28,7.2,546,44,Biutiful,35.0,5101237.0,24687524.0,-10.312476,70.53578285714286,2010,['Drama'],Drama,,,,,,,12
149,176,"['28', '12', '35']",37931,7.666,2010-05-21,5.3,270,42,Macgruber,10.0,8525600.0,8629895.0,-1.370105,86.29894999999999,2010,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,,,,,5
